"relative_path","size_bytes","sha256"
".gitattributes","9","54DA72FFE7B7A9529B193FF0DE762C16C29616BE3C582B4ED940400E6D2A8DED"
"acquisition_protocol.json","812","28B8FC4FCDD98E324F988C1BFBC4687769AC582D9D5D60F4BF916F292C6A05D5"
"attempt_ledger.json","2991","73BDB7CDBCCFCF24B9DD4B2521513407E3E576119E4D7637CFA1F32E9DC65076"
"build_controller_clean.log","650","4444A9E904C4BE83E7B9A40829DB04111CBF426EA3B7F5EFC387580DB5CE6255"
"build_controller.log","12129","4A6CE9F1044B0D1E7EDB6797E2277A41737DAD7D9E99029C731981831DB243A7"
"build_exit_codes.json","99","ACCF297128AC096381F0DDB02778362A7AE3FC61F1BE56884BB3CF354454D163"
"build_payload_clean.log","595","D4F77AC765D21C0CFDA946EAE1F2C0756720D46B044456EB6B47ACEBA7A6EAFC"
"build_payload.log","9855","1FED322733556A8968317F51A343776ADBE42FC06989FE55FDE7002ECDAABDA7"
"build_test_validation.json","1057","D0662A1201942DDC9C6F5F891ADC5D158F56067C49084ACEE92EF2C4E0790D9D"
"commands.txt","1335","92CA3FA1BADAC8A74B7E77C530ADBE7682517C9DB5439B41F238267642AD9E21"
"condition_definitions.json","361","DA9160BC45519023721F2A84CA7C2284321CC082CE51EA04DB08E59D57AF25C9"
"controller_elf_header.txt","993","CBA9B046BE613EDBA13D7C4D4DDC7C6F297F8A7E7B282783B0799FE5604C97C6"
"controller_sections_map.txt","1923","3EA830CEA137F755C20455E3CE3F2D0E945C9537E48BD21598D75373F8055F88"
"controller_symbol_map.txt","13550","529D806DCA2A3D67DA8A934520BED83D461C98B7F5A89195904174FDBD528E47"
"firmware/f411_p1_fixed_controller.bin","19832","8686113C4A83E1600EBE66FB3B3F8795853011B4B0E69D91F9E68EBB3FD8FE68"
"firmware/f411_p1_fixed_controller.elf","158152","9AA52D103E977A8B18968A0B7F3D69E74361AC5E5FFDFA6B3CBC49A3AD722D78"
"firmware/f411_p1_payload.bin","8152","52F145488CAD9D3A9711F77DF1DFB9F76DFEAE6660FE9E1FBD5560AA738BFBBB"
"firmware/f411_p1_payload.elf","143396","0BC0EAAA7830B001CD31F1805C1002275E62FAF8DE6BC8C1AF44ABF5A2005493"
"locked_manifest.json","3387","768B7DC702384B19464AAC1AB374716AF18E8EE26733B713814676AF4ED80FC1"
"payload_elf_header.txt","993","1E364E6DAC756ECDFC6FD9A6064CFA850726DF990B81395FCEE7E2F0E7BECF78"
"payload_sections_map.txt","1694","D48022E03AFA2E5B8BAB29205EC8F423408B9AB796275AB2EBED35FE0DE8A1FF"
"payload_symbol_map.txt","6460","9D584D85F3384CC9C56DEE3CDA5569166224CD5283BD6EEA92D13A45AC9F981A"
"preacquisition_source_state.json","611","D4EF5710A409F6EDDD226F31C4181102B7E96D30B84B761F8606CC5168D8A13C"
"preacquisition_validation.json","895","88446D1EA1A782EC4DC6D5E75088007384584B4471DFB43D9079324FA90A2D3F"
"prior_inventory_validation.json","1269","67270C7E49CD477B2349FBAE6A8DD4E1FC5B7D0F84C2BDC61525CD936678E84A"
"run_plan.csv","399","88EDD7D47C40354D1C9DF8B0F7EC9A083198B4A6E5CBF4D453E947AD9B88BF45"
"semantic_source_validation.json","901","125BE5E3BEDA7D00A2D61019FD9528E020CEBD759838E9323BE60D9E34A9A292"
"test_core_native.log","4935","6B3F544CCEF12AD5EB9DA0E270853385A37D95107B5BAE48AFF557531548A38C"
"test_exit_codes.json","50","1E30B411C3AE51A8E58986FA302FF6BE66127D1BBC29E73A8B9ABF89C761B9CC"
"test_extension_host.log","120","FA44C50F1B64CDE46222E9BAD72BA13AD1E3321383BF418370141C8A31414C80"
"test_payload_native.log","1002","62EA4F73C3D1D1122EFD1AC24210CD7C6E695095E9B0EE498CAA4A95C856E944"
"validity_rules.json","521","2BED85AB810D3FC8278FE130D67DA26C3F726A9301D42696018F8DBA3D730E0C"
